nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.493394732,0.200000361,0.537812948,0.30460313,0.443685502,0.299325496,0.54230845,0.438405305,0.424888611,0.429163933,0.511345565,0.357464612,0.471151084,0.349281847,0.515788078,0.542280197,0.457826287,0.546699464,0.531750917,0.7229532,0.440491289,0.735668123,0.554003656,0.890718102,0.423602283,0.890304089
0.493049622,0.199897632,0.538273335,0.305333465,0.444105387,0.299371302,0.54492861,0.437454939,0.424313575,0.429064512,0.511931062,0.356620401,0.470695674,0.348613769,0.51639694,0.543043673,0.458524853,0.547146976,0.53266412,0.722276628,0.440932959,0.735335112,0.553526521,0.889865398,0.42349422,0.890089273
0.493318588,0.199240297,0.538400054,0.305727214,0.444198698,0.299329013,0.547236145,0.43715176,0.424043864,0.428641915,0.513550818,0.356245697,0.470647037,0.347732753,0.516147733,0.543462098,0.458437711,0.547481954,0.53274554,0.72135222,0.440902919,0.734775424,0.55314827,0.888935506,0.42327258,0.889277399
0.493035913,0.198646501,0.538027644,0.307011217,0.444161862,0.299608827,0.547641575,0.437099695,0.423237413,0.427835852,0.51562196,0.355935782,0.470568091,0.347276837,0.516197443,0.543293297,0.45866856,0.547284544,0.532818496,0.721139848,0.440932125,0.735132158,0.553242505,0.889440417,0.423078924,0.890431643
0.492579013,0.198192656,0.537890375,0.30864653,0.444079757,0.300096095,0.549491644,0.437461376,0.421157151,0.427831084,0.517518818,0.355775148,0.468043804,0.347230643,0.516049206,0.545069337,0.458649874,0.548538685,0.532754421,0.721445382,0.440845221,0.735608101,0.553251863,0.889611185,0.423035204,0.890544176
0.492079228,0.198201314,0.537590861,0.309992433,0.4439255,0.300739408,0.549949706,0.437487334,0.419366717,0.427187949,0.517740011,0.355813056,0.467108786,0.347236246,0.515920162,0.546344757,0.458348393,0.549479842,0.532768369,0.721685767,0.440688491,0.736001909,0.553505957,0.889833093,0.422938198,0.890927434
0.491032153,0.197943777,0.537106633,0.310124457,0.443864048,0.300819844,0.552225173,0.4373748,0.418180883,0.426471412,0.518235326,0.355867982,0.465690494,0.347834498,0.515609801,0.546484292,0.458042264,0.549494922,0.533047974,0.722278178,0.4397659,0.73620224,0.553420961,0.890595496,0.421994627,0.891156137
0.490037709,0.197293773,0.536735654,0.310137421,0.444145679,0.300755471,0.55427897,0.436470151,0.417157143,0.423098981,0.518286824,0.355739146,0.466560602,0.348141938,0.514241517,0.546947837,0.456835508,0.550175011,0.533476293,0.723798215,0.437980413,0.737070262,0.553417146,0.892041504,0.420930654,0.8926875
0.490280181,0.196512729,0.536759973,0.310170323,0.444301903,0.300728112,0.554338813,0.436883748,0.416162163,0.420923769,0.518690169,0.356056899,0.465921521,0.349197835,0.514161229,0.547583163,0.456680655,0.550866842,0.533631444,0.724904239,0.437419981,0.737959862,0.553438604,0.893223643,0.420497775,0.893954098
0.490843713,0.195745915,0.537469566,0.310134441,0.444264859,0.299912781,0.555595815,0.437753886,0.41546151,0.419919729,0.518883526,0.356414527,0.465740681,0.349539548,0.513979018,0.547857642,0.45611459,0.551379144,0.532464743,0.725877941,0.437209427,0.739479601,0.552509129,0.894618571,0.420614511,0.895434916
